stateAbbr,placeName,population2010,noHealthInsurance,highBP,asthma,smoker,noLeisureExercise,obeese,sleepDeprived
CA,Sunnyvale,140081,8.4,23.7,7.1,8.5,14.8,16.9,30.4
CA,Temecula,100097,10.2,26.7,8.5,13.1,18.4,24.5,36.4
CA,Thousand Oaks,126683,8.6,25.2,8.6,11.1,15.9,20,32.2
CA,Torrance,145438,8.9,22.5,7.7,10,16.1,17.5,34.6
CA,Tracy,82922,13.5,26.6,8.9,13.5,22,28.3,34.7
CA,Turlock,68549,14.4,27.7,9.5,16,22,25.3,35.4
CA,Tustin,75540,12.9,26.4,8,11.4,19.1,20.3,32.2
CA,Union City,69516,11.5,24.4,7.4,11,19,18.3,36.3
CA,Upland,73732,12.6,26.7,8.5,12.8,21.5,27.7,36.8
CA,Vacaville,92428,11.6,28.7,9.5,15.3,20.3,28,35.9
CA,Vallejo,115942,12.9,30.8,9.4,14.8,23.1,27.7,38.9
CA,Victorville,115903,17.9,31.8,9.6,17.4,28.3,33.8,40.3
CA,Visalia,124442,15.6,28.8,9.2,14.8,24.6,29.2,32.7
CA,Vista,93834,16.1,29.3,9,15,21.8,25.8,34.3
CA,West Covina,106098,15.4,24.6,7.8,11.2,20.6,21.4,36.3
CA,Westminster,89701,14.6,28.7,7.7,13.9,23.6,18.5,36.2
CA,Whittier,85331,16.4,24.6,8.3,11.8,20.4,24.9,34.4
CO,Arvada,106433,11.3,23.6,9.4,15.4,18.2,21.1,26.9
CO,Aurora,325078,16.3,27.9,9.5,17.5,22.8,26.8,31.3
CO,Boulder,97385,8.8,21.6,8.7,12.2,13.4,16.8,24.5
CO,Centennial,100377,8.2,22.7,8.4,12.2,15.1,20.6,26.6
CO,Colorado Springs,416427,12.2,25.7,9.9,16.6,20.5,23.3,30.2
CO,Denver,600158,15.1,26.2,9.3,15.3,19.5,21.4,28.2
CO,Fort Collins,143986,10.1,24.4,9.1,14.6,17.3,22.8,26.7
CO,Greeley,92889,17.8,28.3,9.5,17.3,25.2,32.6,29.6
CO,Lakewood,142980,13,24.4,9.3,15.5,19.3,21.9,27.4
CO,Longmont,86270,13.4,22.5,9,14.5,16,17.9,25.8
